movie|Rouge One|Gareth Edwards|2016-12-16
movie|Star Wars|George Lucas|1977-05-25
tool|pry bar|Stanley|2
movie|Back to the Future|Robert Zemeckis|1985-07-03
movie|Back to the Future Part II|Robert Zemeckis|1989-11-22
movie|Back to the Future Part III|Robert Zemeckis|1990-05-25
tool|hammer|Vaughan|2
tool|hammer|Craftsman|1
movie|The Fifth Element|Luc Besson|1997-05-02
tool|hand saw|Stanley|3
movie|The Lord of the Rings: The Fellowship of the Ring|Peter Jackson|2001-12-18
movie|The Lord of the Rings: The Two Towers|Peter Jackson|2002-12-18
movie|The Lord of the Rings: The Return of the King|Peter Jackson|2003-12-01
movie|Close Encounters of the Third Kind|Steven Spielberg|1977-11-18
tool|power drill|Milwaukee|2
tool|stapler|DeWalt|2
tool|socket wrench|DeWalt|2
movie|Star Trek Into Darkness|J.J. Abrams|2013-05-05
